Genus	ICC1_single_raters_absolute	ICC2_single_random_raters	ICC3_single_fixed_raters	ICC1-p-value	iCC2-p-value	ICC3-p-value
g__Actinomyces	0.9187292	0.9193357	0.9403892	7.591314E-041	6.141471E-046	6.141471E-046
g__Varibaculum	0.8211833	0.8211833	0.8211833	4.131775E-026	1.027625E-025	1.027625E-025
g__Alloscardovia	0.4921388	0.4937348	0.4984342	0.0000000223672	0.00000001782374	0.00000001782374
g__Bifidobacterium	0.9406538	0.940797	0.947657	7.620575E-047	2.231435E-048	2.231435E-048
g__Corynebacterium	0.5437962	0.5468663	0.5581342	0.0000000005245712	0.0000000002178067	0.0000000002178067
g__Brevibacterium	0.9856196	0.9856197	0.9856458	2.967467E-074	7.18973E-073	7.18973E-073
g__Rothia	0.9380786	0.9382315	0.9452334	4.955386E-046	1.579781E-047	1.579781E-047
g__Bacteroides	0.8534958	0.8558504	0.8992059	8.904778E-030	3.689207E-036	3.689207E-036
g__Porphyromonas	0.9454613	0.9454874	0.9468496	1.831368E-048	4.326312E-048	4.326312E-048
g__Alloprevotella	0.9898014	0.9898017	0.9898897	6.078295E-081	1.52967E-079	1.52967E-079
g__Paraprevotella	0.9938506	0.9938507	0.993891	8.373642E-091	3.815356E-089	3.815356E-089
g__Prevotella	-0.04205569	0.007751014	0.009048472	0.6774321	0.4473655	0.4473655
g__Alistipes	0.7316849	0.7334563	0.748277	7.697189E-019	1.104598E-019	1.104598E-019
g__Elusimicrobium	0.4960103	0.496015	0.4960291	0.00000001720928	0.000000020957	0.000000020957
g__Methanobrevibacter	0.9247199	0.9247952	0.9275769	2.654349E-042	2.685507E-042	2.685507E-042
g__Methanosphaera	0.4686074	0.4710405	0.4776007	0.0000001035369	0.00000006990138	0.00000006990138
g__Bacillus	0.4188682	0.4261351	0.4427443	0.000001921113	0.0000005785402	0.0000005785402
g__Brevibacillus	0.3974197	0.406254	0.424944	0.000005994644	0.000001575508	0.000001575508
g__Staphylococcus	0.6088365	0.61132	0.6231901	0.000000000001874608	0.0000000000006596519	0.0000000000006596519
g__Abiotrophia	0.9331403	0.9332303	0.937014	1.45169E-044	6.604534E-045	6.604534E-045
g__Granulicatella	-0.04693401	0.002986701	0.003485262	0.6979282	0.4725268	0.4725268
g__Enterococcus	0.44782	0.4576068	0.4833048	0.0000003689977	0.00000004847055	0.00000004847055
g__Lactobacillus	0.1783445	0.2480363	0.3326918	0.02292334	0.0001355801	0.0001355801
