"taxid"	"FR.294.M"	"FR.316.M"	"FR.221.M"	"FR.213.M"	"FR.194.M"	"FR.716.M"	"FR.052.M"	"FR.684.M"	"FR.053.M"	"FR.198.M"	"FR.730.M"	"FR.115.M"	"FR.276.M"	"FR.305.M"	"FR.399.M"	"FR.393.M"	"FR.728.M"	"FR.152.M"	"FR.726.M"	"FR.400.M"	"FR.460.M"	"FR.721.M"	"FR.719.M"	"FR.759.M"	"FR.542.M"	"FR.129.M"	"FR.751.M"	"FR.212.M"	"FR.696.M"	"FR.040.M"	"FR.110.M"	"FR.187.M"	"FR.139.M"	"FR.169.M"	"FR.390.M"	"FR.156.M"	"FR.116.M"	"FR.027.M"	"FR.558.M"	"FR.060.M"	"FR.349.M"	"FR.039.M"	"FR.132.M"	"FR.568.M"	"FR.030.M"	"FR.105.M"	"FR.173.M"	"FR.682.M"	"FR.166.M"	"FR.142.M"	"FR.294.Q"	"FR.316.Q"	"FR.221.Q"	"FR.213.Q"	"FR.194.Q"	"FR.716.Q"	"FR.052.Q"	"FR.684.Q"	"FR.053.Q"	"FR.198.Q"	"FR.730.Q"	"FR.115.Q"	"FR.276.Q"	"FR.305.Q"	"FR.399.Q"	"FR.393.Q"	"FR.728.Q"	"FR.152.Q"	"FR.726.Q"	"FR.400.Q"	"FR.460.Q"	"FR.721.Q"	"FR.719.Q"	"FR.759.Q"	"FR.542.Q"	"FR.129.Q"	"FR.751.Q"	"FR.212.Q"	"FR.696.Q"	"FR.040.Q"	"FR.110.Q"	"FR.187.Q"	"FR.139.Q"	"FR.169.Q"	"FR.390.Q"	"FR.156.Q"	"FR.116.Q"	"FR.027.Q"	"FR.558.Q"	"FR.060.Q"	"FR.349.Q"	"FR.039.Q"	"FR.132.Q"	"FR.568.Q"	"FR.030.Q"	"FR.105.Q"	"FR.173.Q"	"FR.682.Q"	"FR.166.Q"	"FR.142.Q"	"FR.294.D"	"FR.316.D"	"FR.221.D"	"FR.213.D"	"FR.194.D"	"FR.052.D"	"FR.684.D"	"FR.053.D"	"FR.198.D"	"FR.730.D"	"FR.115.D"	"FR.305.D"	"FR.399.D"	"FR.393.D"	"FR.728.D"	"FR.152.D"	"FR.726.D"	"FR.460.D"	"FR.721.D"	"FR.719.D"	"FR.759.D"	"FR.542.D"	"FR.129.D"	"FR.751.D"	"FR.212.D"	"FR.696.D"	"FR.040.D"	"FR.110.D"	"FR.187.D"	"FR.139.D"	"FR.390.D"	"FR.156.D"	"FR.027.D"	"FR.558.D"	"FR.060.D"	"FR.349.D"	"FR.039.D"	"FR.132.D"	"FR.568.D"	"FR.030.D"	"FR.105.D"	"FR.173.D"	"FR.682.D"	"FR.166.D"	"FR.142.D"
1654	0.0159911486831073	0.0152606852047657	0	0	0	0	0	0	0	0	0.0751602610728036	0	0	0.0434678968548873	0	0.012168516570912	0	0.0672227063363625	0	0	0	0	0	0.02680345672166	0	0	0	0	0	0	0	0	0.0108779733127055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00942151874882231	0	0	0.0154514727184935	0.0282801621395963	0.0280554094336314	0.00121094451654049	0.00629128656810318	0.00264763458671251	0.00268007897299374	0.00292034752135504	0.00485606619789441	0.00225326723749437	0	0.102218392552419	0.00856714499892911	0.0179711186731517	0.0844480206499311	0.00784744565643883	0.0205757186446122	0.00449822320183528	0.0726022728956453	0.0033533865851123	0.00806438605828938	0.00523023950138383	0.000436791851211224	0.00783581358599479	0.026673560756216	0.00110544875692287	0.0051440329218107	0.00439213945736273	0.014251217291477	0.00481237298111699	0.00128440602643308	0.00224970866272818	0.00539337962650846	0.00954623560109463	0	0.00627752958285816	0.00165098233448902	0.0121726428546586	0	0.00568741113420103	0.000581767409389726	0.00875262578773632	0	0.00884701302722668	0.00521479750941271	0.0012267229323585	0.00116866118175019	0.012351587951026	0.00069309675630718	0.0107778530516721	0.027244708566758	0.0199477731031481	0.0230419672614028	0.000943164884085036	0.00511568330772212	0.00206667856572508	0	0.00615702886415131	0	0	0.0895596239485403	0	0.0429254732022403	0.00671843057461777	0.0117429825555969	0.00596095118439515	0.0856506595100782	0.00376146820362537	0.00529168191699997	0	0.00995575221238938	0.0278201519907637	0	0	0.0053897425499642	0.0102039387203461	0.00373376744602839	0	0.00224021362677145	0	0.00759845425730537	0.00295891754342211	0	0	0.00609302835695397	0	0.00309340309693841	0	0.0100153568805502	0.00382621338792064	0	0	0.0098548521068266	0	0.0108650100113307	0.0351679268507121
184869	0	0.0147156607331669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161832441180132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0245484832544275	0.0022200649469909	0	0	0	0	0	0	0	0	0	0	0	0	0.00200738718484021	0.00134946696055058	0.0118534323094931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213791448817139	0.00188632976817007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
419014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00696535298611423	0.000165477161669532	0	0	0.011007083381894	0	0	0.00337912041495599	0	0	0	0	0	0.0274391615311952	0.00148167903868664	0	0	0	0	0	0.18958746260572	0	0	0	0.0221685602311864	0	0	0	0	0.00318207853369821	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308789698775649	0	0	0	0	0	0	0.00649298265980116	0	0	0.0131349949101895	0	0	0	0	0	0	0	0.0320974294544354	0	0	0	0	0	0.202159771132883	0	0	0	0.0176067962233422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1678	2.85031420446196	1.59746672625601	3.59968879864893	0	1.07225519988663	0.018762201769732	0.0221888441319041	0.0827226683523361	0.184345955910592	0.374818491999342	2.20777205589984	9.70984839941358	4.99391154508903	0.220143864716687	0.164635977519413	2.78615570486132	0.383866939036315	3.62131208763849	0.198119789237547	0.83842238010329	0.346387400690222	0	1.15177562310392	1.39701464947548	0.383422784009557	0	0	0.192767064634889	0.511403596905456	0.034598295578702	0.290961903256402	0.0255930171473215	0.0350512473409399	0.173127145749582	0.118770873727274	0.0412354129726609	0.229604298974108	0.0108512095707668	0.673009439794007	0	0.0122778134330441	0	0.0475597644392844	0.0710238318653347	0.0120019203072492	0	0.418315432447711	0.0606736119225895	0.0317158261972724	9.21100917431193	6.46134371170395	2.62697995207201	6.36492620302292	0.00202219925403316	1.21013448328929	0.0214406317839499	0.0306636489742279	0.0964738484648356	0.244479495268139	0.628867329455545	3.20805244394884	12.5094595559363	9.75715801251022	0.395949681726564	0.25672357933207	5.19311064718163	0.525842292294544	5.23329036464121	0.267600249491962	1.28707601490299	0.603656809118051	0.00218395925605612	1.52014783568299	1.80928814421779	0.512928223212213	0.00257201646090535	0.00554796563035292	0.292149954475278	0.601546622639624	0.0372477747665592	0.378400997070879	0.0242702083192881	0.0498525636946053	0.185230921215115	0.188849014950983	0.0478784877001816	0.399958265224498	0.0141975786674927	0.966859892814175	0.00349060445633836	0.0800240072021606	0.00497660993331343	0.0519762015349568	0.148100249267321	0.012267229323585	0.0093492894540015	0.504871157498186	0.0765871915719434	0.0307938658619203	11.4887530437448	3.8263455679675	1.95096574348352	4.66552229327398	0	1.29486806136157	0.0150958587027625	0.119446359964536	0.277511726712346	0.43667245367201	3.32310737258783	11.6825806451613	0.270839295204611	0.226027200046069	3.84076515654611	0.556661133681208	5.62058661185024	0.292026713263279	0.613835102371996	0	1.59918879056047	1.97291244534499	0.459382226973248	0	0.00692966899281111	0.228088041984206	0.587321619260266	0.0453371953907185	0.406822794621695	0	0.0434197386131735	0.155554522282763	0.043560331058516	0.0156044784853253	0.934670549956739	0	0.0260729689599095	0	0.0600921412833011	0.144439555394004	0.0137323460128662	0	0.488519097295547	0.0899954407596091	0.0372514628959908	14.8232811675752
1716	0	0.0277962480515375	0	0	0	0	0	0	0	0.0123985760712251	0	0	0	0.0126197119901286	0	0	0	0	0	0	0.0106384336821321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185559358376974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00336668596899956	0.253083172599217	0.0022200649469909	0.00269626567204422	0.000496431485008597	0.00536015794598747	0	0.00356111521178923	0	0.0185522682876256	0.00253434031121699	0	0.00173914051675662	0.0262904215230918	0	0.00301108077726032	0	0	0.00033533865851123	0.00120965790874341	0.132499400701724	0	0.000326492232749783	0.000410362473172553	0.00257938043282004	0.00643004115226337	0	0.0102925458216223	0.00888438088821598	0.00128440602643308	0.00134982519763691	0.00809006943976269	0.00530346422283035	0	0.00575440211761998	0.0198117880138683	0.00173894897923695	0	0.00087498632833862	0	0.00750225067520256	0	0.00110587662840334	0	0	0.00584330590875093	0.00463184548163473	0	0.00461907987928805	0.00340558857084476	0.00408022631655302	0.147516099683826	0.00141474732612755	0.00255784165386106	0	0	0.00492562309132105	0	0.00638943807630449	0.0024740227610094	0	0	0	0.00202465216475809	0	0	0	0.138906650321249	0	0	0	0	0.00511469708206531	0	0.00400154459621414	0	0	0	0.00709672840820382	0.00542746732664669	0.00507243007443791	0	0	0	0	0.00265148836880436	0	0	0	0	0.00824305228450306	0.00563134406104377	0	0	0
1696	0	0.0577725939894701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0730609620667485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000581767409389726	0	0	0	0	0	0	0	0	0	0	0	0.0629497043739355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32207	0	0	0	0	0	0	0	0.016778654429955	0	0	0	0	0	0.0224350435380064	0	0	0	0	0	0	0	0	0	0.0693192846249827	0	0	0.043057357532899	0	0.011051944137446	0	0	0.0107760072199248	0.0205472829239992	0.0293435840253529	0	0	0	0	0	0	0	0	0	0	0	0.0336991399393415	0	0	0	0	0.00269334877519964	0.00116897539306798	0.000201824086090082	0.00202219925403316	0.00215120310170392	0.00223339914416145	0	0.0197480025381039	0	0	0	0	0.00869570258378309	0.0406306514447782	0.00280265916301387	0	0	0.00592671615474656	0.00100601597553369	0.00403219302914469	0.00697365266851178	0	0	0.088227931732099	0.000368482918974291	0.00900205761316872	0.0517810125499606	0	0.011475658647279	0	0.00269965039527381	0.0148317939728983	0.0243959354250196	0.037046184243023	0.00209250986095272	0.00330196466897804	0	0.00516275587908826	0.00043749316416931	0	0.00500150045013504	0.00248830496665671	0.00221175325680667	0	0	0.0362284966342558	0.00617579397551298	0.00277238702522872	0	0.00340558857084476	0	0	0	0.00216432755326705	0.00206667856572508	0	0.0270909270022658	0	0	0	0	0.0265729119823392	0	0	0	0	0	0.0057326554100833	0	0	0.112207946362747	0	0.0089507198936143	0.0600571312710296	0	0.011574679082688	0	0.00268825635212574	0.0141934568164076	0.0151969085146107	0	0	0.00585167943199698	0	0	0.00176765891253624	0.00235255369703813	0	0	0	0.0412152614225153	0	0.00277518980315975	0	0
816	0.257587151760323	4.88777946129781	6.0318981384846	7.77242482110828	5.04715718536946	15.0178748003347	2.96477094285519	0.995403429088724	3.88534705686561	2.46230952091425	1.02169464567998	0.0338322243882006	0.531648477886272	0.258003000687073	6.11995366596594	7.69789050073446	2.37290761053722	0.128221088011951	1.41266347773465	3.44700154288196	1.87917292561182	43.2411031080114	3.23300220093986	0.614168861777346	11.5729557372873	0.282728564957278	0.783016581359871	6.52257019663631	0.0406912488696875	12.364338262073	3.84425387290547	1.56521504869408	0.99110423515761	4.47196220546378	2.44901481082947	2.78751391695188	5.36557563914672	5.14686433953435	0.727854131710922	12.0841865317003	0.503948433183581	1.68576900860365	3.18930185063436	0.206332007900753	8.69339094255081	9.96468916206356	3.73845863953269	13.0133661719895	18.6828870463504	0.0212457749879285	0.157560903349179	7.02378864924893	5.46559807540551	5.59407720307374	15.0195345789351	27.5869462286822	14.670365773527	2.90489879958044	12.6126633618747	3.95872665960953	1.46442630983155	0.111372884986078	0.180870613742688	0.0940081739310554	6.60306498806067	7.68879476473422	3.8558769286132	0.200026670222696	3.62702293045747	4.59831293043661	9.56174951511321	61.0399140393637	8.87438537837185	0.763274200100949	17.6403827800562	0.554269547325103	1.31671717627043	2.35435387883826	0.0906947215672048	30.9593228611429	6.74957592991708	8.3691768354345	3.40164195252339	13.3448588128756	3.16282865483004	7.73980518408453	15.3723089764546	11.1734944113168	1.45378978453462	19.5124789109314	0.911523457037111	8.46023688663283	5.81027580563112	0.569977367778809	17.7862557962659	18.684554973822	5.86854822523121	15.1458968672027	38.1181868571781	0.0595977999897832	0.415276367329175	6.66221663725055	8.26291035532165	11.992735729703	14.7203877840509	12.4716952649323	3.04075132170886	12.3369925587564	5.30067782810221	1.45175655616032	0.087741935483871	0.557520134091002	8.04196139781747	17.5496849641232	3.30695230321983	0.258855326519348	3.54672256436385	8.41024646008528	58.7874810701666	8.00774336283186	0.874016441709827	12.5224451012038	0.627829066823517	1.33742611561254	10.0008603320882	0.0716883349637451	28.3609344499717	6.08173195395913	6.87436425141343	3.19135078806826	15.5812370811547	6.85930013068099	9.34838298591696	1.20032658631993	17.4901350194923	0.721204836314785	7.85517679441033	4.93757094211124	0.53710470432936	14.523540410069	16.9594912859162	5.52857203192972	13.0314984042659	37.4020208918621	0.0803838328016278
836	0	0.0365166395971179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223810656184868	0	0	0	0	0	0	0	0	0.0599099888947338	0.00201824086090082	0	0	0	0.00146017376067752	0	0	0.000272827474818024	0	0	0	0	0	0.000501846796210053	0.000449822320183527	0	0	0	0.000435853291781986	0	0	0	0.000736965837948582	0	0	0.00369476003853107	0	0	0	0	0	0	0	0	0	0.00129068896977206	0	0	0	0	0.0210116559396634	0.00417183800753017	0	0	0	0	0	0	0	0.0520225858788373	0.00141474732612755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00260100398753919	0	0	0	0	0	0	0	0	0	0	0	0	0.0178050788987559	0.00382621338792064	0	0	0	0	0	0
1283313	0.013397989437198	0	0	0	0	0	4.8832525431829	0	2.96873799831016	0.43895727975241	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217200425158279	0	0	0.149132437017922	0	0	0	0.0568092001264622	0	0.564445948559273	0	0	0	0.100960755577268	0	0	0	0.0161843904344672	0.332897576992065	0.0335715984277301	0	0	0	0	0.0134830248716865	0	0	0.00134667438759982	0.000876731544800982	0	0.00089875522401474	0.00115834013168673	0.000893359657664579	5.84799591151347	0.000647475493052588	3.17034700315457	0.668972968253795	0.000844780103738997	0	0.00173914051675662	0	0.000560531832602773	0.00100369359242011	0.000449822320183527	0.00444503711605992	0.00033533865851123	0.000806438605828938	0.000871706583563972	0	0.000652984465499566	0.0217492110781453	0.000736965837948582	0.00257201646090535	0.14494060209297	0.000791734293970943	0.001850912685045	0.00128440602643308	0.0895384047765814	0.00134834490662712	0.578077600288508	0.00617436404050383	0.00052312746523818	0	0.137376969359719	0.000645344484886032	0	0.00174530222816918	0.00375112533760128	0.34836269533194	0	0.00104295950188254	0	0	0	0.00069309675630718	0.00307938658619203	0	0.105179167271145	0	0	0	0	4.97534343078549	0	3.18647314521476	0.434846899935923	0	0	0	0	0	0	0.0038066959782257	0	0	0	0	0.0264291443912255	0	0	0.164258820570337	0	0	0	0.0936409295990466	0	0.657809039989579	0	0	0	0	0	0	0.381113698920178	0.402839910084352	0	0	0	0	0	0	0
