"genus"	"FR.294.M"	"FR.316.M"	"FR.221.M"	"FR.213.M"	"FR.194.M"	"FR.716.M"	"FR.052.M"	"FR.684.M"	"FR.053.M"	"FR.198.M"	"FR.730.M"	"FR.115.M"	"FR.276.M"	"FR.305.M"	"FR.399.M"	"FR.393.M"	"FR.728.M"	"FR.152.M"	"FR.726.M"	"FR.400.M"	"FR.460.M"	"FR.721.M"	"FR.719.M"	"FR.759.M"	"FR.542.M"	"FR.129.M"	"FR.751.M"	"FR.212.M"	"FR.696.M"	"FR.040.M"	"FR.110.M"	"FR.187.M"	"FR.139.M"	"FR.169.M"	"FR.390.M"	"FR.156.M"	"FR.116.M"	"FR.027.M"	"FR.558.M"	"FR.060.M"	"FR.349.M"	"FR.039.M"	"FR.132.M"	"FR.568.M"	"FR.030.M"	"FR.105.M"	"FR.173.M"	"FR.682.M"	"FR.166.M"	"FR.142.M"	"FR.294.Q"	"FR.316.Q"	"FR.221.Q"	"FR.213.Q"	"FR.194.Q"	"FR.716.Q"	"FR.052.Q"	"FR.684.Q"	"FR.053.Q"	"FR.198.Q"	"FR.730.Q"	"FR.115.Q"	"FR.276.Q"	"FR.305.Q"	"FR.399.Q"	"FR.393.Q"	"FR.728.Q"	"FR.152.Q"	"FR.726.Q"	"FR.400.Q"	"FR.460.Q"	"FR.721.Q"	"FR.719.Q"	"FR.759.Q"	"FR.542.Q"	"FR.129.Q"	"FR.751.Q"	"FR.212.Q"	"FR.696.Q"	"FR.040.Q"	"FR.110.Q"	"FR.187.Q"	"FR.139.Q"	"FR.169.Q"	"FR.390.Q"	"FR.156.Q"	"FR.116.Q"	"FR.027.Q"	"FR.558.Q"	"FR.060.Q"	"FR.349.Q"	"FR.039.Q"	"FR.132.Q"	"FR.568.Q"	"FR.030.Q"	"FR.105.Q"	"FR.173.Q"	"FR.682.Q"	"FR.166.Q"	"FR.142.Q"	"FR.294.D"	"FR.316.D"	"FR.221.D"	"FR.213.D"	"FR.194.D"	"FR.052.D"	"FR.684.D"	"FR.053.D"	"FR.198.D"	"FR.730.D"	"FR.115.D"	"FR.305.D"	"FR.399.D"	"FR.393.D"	"FR.728.D"	"FR.152.D"	"FR.726.D"	"FR.460.D"	"FR.721.D"	"FR.719.D"	"FR.759.D"	"FR.542.D"	"FR.129.D"	"FR.751.D"	"FR.212.D"	"FR.696.D"	"FR.040.D"	"FR.110.D"	"FR.187.D"	"FR.139.D"	"FR.390.D"	"FR.156.D"	"FR.027.D"	"FR.558.D"	"FR.060.D"	"FR.349.D"	"FR.039.D"	"FR.132.D"	"FR.568.D"	"FR.030.D"	"FR.105.D"	"FR.173.D"	"FR.682.D"	"FR.166.D"	"FR.142.D"
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0084869167478135	0	0	0	0	0	0	0	0	0	0	0	0	0.00201203195106738	0	0	0	0	0	0.00147393167589716	0	0.0104024355569117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0404818567678304	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"822"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000645344484886032	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.387842223628749	0.0891343737214332	1.42952000177605	0.00651597537410686	0.00148929445502579	0.107649838748582	0.372344308972768	0.0751071571941002	0.599369085173502	0.0665699038555979	0.00844780103738997	0.0556864424930392	0.437683696717082	0.00318671776037476	0.645172139325792	0.00200738718484021	0.00179928928073411	0.134832792520484	0.783015767623723	1.02216093288818	0.214875672848519	0.00262075110726734	0.93180883226788	0.580662899539163	0.00110544875692287	0.0334362139917695	0.0707365617869997	0.00237520288191283	0.00444219044410799	0.134862632775473	1.05466342108697	0.182026562394661	0.0647022635185303	0.559809006339014	0.00313876479142908	0.903087336965494	0.0069557959169478	0.36268360050595	0.00218746582084655	0.00581767409389726	0.623937181154346	0.0957997412162835	0.274257403844027	0.00260739875470635	0.266198876321794	0.308526551982049	0.0200713304204172	0.0142084835042972	0.00769846646548008	0.0800313314148518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__28-4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.00950184216965064	0	0	0	0.0503195290092085	0	0	0	0	0	0	0.57106659884251	0	0	0	0	0	0	0	0	0	0	0	0.136652747960713	0	0.14104905232668	0	0	0	0	0.268622041527516	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Abiotrophia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434678968548873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044665969606838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134813283602211	0	0	0	0	0.00337990085624155	0	0	0	0	0.0701077907282447	0	0.000501846796210053	0.00134946696055058	0	0	0	0	0	0.000326492232749783	0	0.000368482918974291	0	0	0	0	0.00128440602643308	0	0	0	0	0.0695759528766779	0	0	0	0.0100623427758941	0.000581767409389726	0.00125037511253376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480356485834594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0519924082629886	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Acetanaerobacterium"	0	0	0	0.0141645718459509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107925177016563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121606420819019	0	0	0.0280044807169147	0	0.00942151874882231	0	0	0	0.000673337193799911	0.00175346308960196	0	0	0	0	0	0	0	0	0.000422390051869498	0	0	0	0	0	0.00224911160091764	0	0.00536541853617969	0.00161287721165788	0.0030509730424739	0.000436791851211224	0.0019589533964987	0	0.00515876086564007	0.00385802469135802	0.00531680039575488	0	0	0	0.000899883465091271	0	0	0	0	0	0.0034778979584739	0	0	0	0	0	0.00221175325680667	0	0.00368016879707549	0	0.00308789698775649	0	0	0	0	0.0014252763254476	0.0215355981866083	0.00216432755326705	0	0	0	0	0.120669101955351	0.0098960910440376	0.0296774193548387	0	0	0	0	0	0.00512927482312551	0.00440973493083331	0	0	0	0.00908284251049767	0	0.0161692276498926	0	0	0	0.00358434180283432	0	0	0	0	0	0	0	0	0	0	0	0.00316900292604604	0	0	0	0	0
"g__Acetatifactor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acetitomaculum"	0	0	0	0	0	0	0	0	0	0	0	0.0112774081294002	0	0	0.0203783946115234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0502492158076927	0.0226794771349635	0	0	0	0.0144882741567824	0	0	0	0	0	0.0190473399657148	0	0.0161796298460239	0.0135924969416882	0	0	0.00818282775147583	0.00242188903308099	0	0.00182024877836485	0	0	0	0	0	0	0	0	0	0.120514344009596	0	0	0	0	0.0318543249302431	0	0	0.000326492232749783	0.000410362473172553	0	0	0	0	0	0.0423853988722915	0	0	0	0	0.00052312746523818	0.0165098233448902	0	0	0	0	0	0	0	0	0	0.0654450261780105	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acetivibrio"	0.0203130807596228	0	0.0124923306577607	0	0	0	0	0	0	0	0	0.0708865653848013	0	0	0.043974430477498	0	0	0.0970994647080792	0.10985241232043	0	0.0110639710294174	0	0	0	0	0	0	0	0	0.0509869619054556	0.371482769522605	0	0	0	0	0.0515442662158262	0	0.0549342484520071	0	0	0.0161843904344672	0.106405618216642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000899883465091271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
