OTUID	FR.026	FR.027	FR.030	FR.039	FR.040	FR.051	FR.052	FR.053	FR.054	FR.060	FR.105	FR.110	FR.113	FR.115	FR.116	FR.125	FR.129	FR.132	FR.139	FR.142	FR.152	FR.156	FR.161	FR.162	FR.166	FR.169	FR.170	FR.173	FR.187	FR.191	FR.194	FR.196	FR.198	FR.200	FR.208	FR.211	FR.212	FR.213	FR.214	FR.215	FR.218	FR.221	FR.223	FR.229	FR.241	FR.276	FR.281	FR.294	FR.298	FR.302	FR.305	FR.312	FR.316	FR.328	FR.344	FR.349	FR.390	FR.393	FR.399	FR.400	FR.414	FR.419	FR.430	FR.449	FR.450	FR.451	FR.459	FR.460	FR.473	FR.474	FR.496	FR.500	FR.503	FR.505	FR.506	FR.507	FR.510	FR.539	FR.542	FR.548	FR.551	FR.552	FR.558	FR.568	FR.596	FR.606	FR.617	FR.626	FR.628	FR.643	FR.654	FR.664	FR.666	FR.667	FR.672	FR.682	FR.684	FR.696	FR.716	FR.719	FR.721	FR.722	FR.723	FR.726	FR.728	FR.730	FR.734	FR.751	FR.759	FR.767	FR.768	FR.770	FR.772	FR.780	FR.783	FR.788	FR.790	FR.792	FR.812	FR.817	FR.820	FR.824	FR.825	FR.826	FR.827	FR.828	FR.829	FR.830	FR.835	Domain	Phylum	Class	Order	Family	Genus	Species
2	496	2244	702	772	3492	511	286	2649	638	1391	1765	2888	2598	202	946	990	317	2993	1287	331	993	1419	294	1075	703	298	2151	796	1492	583	3278	12490	5162	7014	1906	11754	5396	9046	3934	969	9072	12795	11036	3551	4966	2981	7816	5227	1257	3781	882	6159	9179	10208	7075	3428	906	4859	6515	4264	8248	3342	2846	13296	2965	4255	3955	7568	5607	9030	3382	1180	2257	27011	4575	4971	2510	1844	2819	3675	2383	4856	1092	2092	2856	1184	2743	2171	602	2673	5533	2783	1031	2581	3511	1762	2718	530	1986	3729	1856	653	5423	4663	1133	1287	5596	1861	5894	4926	3815	3903	1802	4947	1897	3591	5371	4722	3239	2435	3204	29319	3655	10810	1339	8185	5436	2170	3192	d__Bacteria	NA	NA	NA	NA	NA	NA
57723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	22	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	d__Bacteria	p__Acidobacteria	NA	NA	NA	NA	NA
1562566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Acidobacteria	c__Blastocatellia	NA	NA	NA	NA
1281902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Acidobacteria	c__Blastocatellia	NA	NA	g__Blastocatella	NA
74152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	NA	NA	NA	NA	NA
641853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	NA	NA	NA	NA
641854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	NA	NA	NA
641876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	NA	NA
423604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	NA
423605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	s__Elusimicrobium minutum
77133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	d__Bacteria	s__uncultured bacterium	NA	NA	NA	NA	NA
976	20	82	99	22	41	45	20	33	14	92	27	101	17	2	64	6	8	66	39	0	6	15	0	56	23	7	142	28	58	6	127	233	1918	940	288	516	1017	453	289	30	284	719	544	141	332	18	636	102	24	49	3	186	87	143	275	73	36	147	106	286	192	161	16	650	126	250	216	78	79	185	248	84	140	520	219	48	137	153	115	198	375	208	17	14	116	29	14	188	15	149	492	15	5	65	98	189	90	4	113	117	87	52	2313	198	13	23	248	38	15	251	37	272	75	202	94	204	79	247	153	48	12	25	82	163	70	215	100	30	89	d__Bacteria	p__Bacteroidetes	NA	NA	NA	NA	NA
200643	1	75	8	4	0	0	0	1	10	3	1	6	0	0	0	0	0	7	1	0	1	0	0	5	9	3	2	0	1	0	1	15	4	84	7	45	505	48	464	2	28	3	279	0	10	0	19	3	0	3	0	32	15	3	25	50	16	4	1	25	16	23	1	36	4	6	32	6	1	5	53	3	4	2	27	3	16	10	4	4	1	3	6	0	2	1	0	33	1	303	25	0	1	7	3	2	1	0	2	3	7	1	266	2	2	0	10	0	1	8	1	14	4	23	16	2	28	6	52	0	0	0	1	153	2	7	23	0	11	d__Bacteria	p__Bacteroidetes	c__Bacteroidia	NA	NA	NA	NA
171549	924	1750	3071	2754	1682	2854	953	779	3564	2844	570	2473	222	34	1098	17	31	837	366	7	37	1432	34	675	3649	56	1482	393	427	37	13189	4786	918	1222	47353	46225	3564	7518	5158	200	41278	4502	3977	41431	11074	319	38067	1085	1196	1942	34	1010	828	5192	4243	297	20705	5846	4838	3612	9662	4893	103	4110	795	4934	1238	3010	1755	2562	2565	2254	2858	4812	5389	1502	2224	7299	3661	1789	758	1599	206	204	2316	2521	48	3720	75	4305	2680	182	45	468	2182	1501	1152	103	3652	2421	1287	142	62179	514	932	766	3687	918	74	19811	1747	15563	818	3830	765	682	3994	1320	13877	479	163	2683	294	2675	845	4192	1491	3196	1403	d__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	NA	NA	NA
815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	NA	NA
816	1064	4078	3707	580	2702	542	846	2078	4829	7814	4451	3217	369	21	809	36	44	704	560	11	36	224	24	1226	3729	897	7966	496	890	96	16689	33260	3227	671	74227	17064	17464	21568	11659	433	37405	23849	12202	16471	26566	417	47154	244	460	4140	169	6158	15069	29362	12585	359	4188	8728	10236	4743	5374	1777	615	10368	9557	6653	7953	3457	4237	8239	5454	1813	10546	16875	24894	2952	3119	1714	11580	4712	3859	3870	1103	208	9458	1574	70	1697	248	2187	7443	434	392	1426	892	14438	1118	52	11476	2732	38928	1864	4213	1854	1393	842	6308	1505	995	37196	481	8631	23568	3007	1223	6293	5065	4270	2698	12138	329	3387	2892	10464	6511	18636	468	6550	567	d__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
85831	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	7	0	0	118	46	17	0	21	2	0	15	18	32	10	14	0	352	0	0	0	0	0	295	39	5	0	1	9	0	0	0	0	1	4	0	4	2	1	1	0	3	0	8	0	2	0	0	0	3	31	0	0	1	0	8	0	0	8	0	0	0	0	0	0	0	17	3	0	5	0	55	0	0	0	0	0	3	0	0	0	0	9	0	1	0	0	0	0	0	8	0	3	0	11	154	431	0	16	17	d__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides acidifaciens
