AVSid	FR.027	FR.030	FR.039	FR.040	FR.052	FR.053	FR.060	FR.105	FR.110	FR.115	FR.129	FR.132	FR.139	FR.142	FR.152	FR.156	FR.166	FR.173	FR.187	FR.194	FR.198	FR.212	FR.213	FR.221	FR.294	FR.305	FR.316	FR.349	FR.390	FR.393	FR.399	FR.460	FR.542	FR.558	FR.568	FR.682	FR.684	FR.696	FR.719	FR.721	FR.726	FR.728	FR.730	FR.751	FR.759	Kingdom	Phylum	Class	Order	Family	Genus	Genus.000
ASV1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__28-4	g__28-4
ASV1739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__28-4	g__28-4
ASV422	0	0	0	112	40	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	592	0	0	0	0	40	0	0	0	943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__28-4	g__28-4
ASV1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	g__Abiotrophia
ASV1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Acetanaerobacterium	g__Acetanaerobacterium
ASV2140	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	24	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Acetanaerobacterium	g__Acetanaerobacterium
ASV2887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Acetanaerobacterium	g__Acetanaerobacterium
ASV2929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Acetanaerobacterium	g__Acetanaerobacterium
ASV2989	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Acetanaerobacterium	g__Acetanaerobacterium
ASV695	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	661	0	11	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	20	39	0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Acetanaerobacterium	g__Acetanaerobacterium
