OTUID	FR-001	FR-003	FR-024	FR-025	FR-026	FR-027	FR-030	FR-039	FR-040	FR-051	FR-052	FR-053	FR-054	FR-060	FR-105	FR-110	FR-113	FR-115	FR-116	FR-118	FR-121	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-161	FR-162	FR-166	FR-169	FR-170	FR-173	FR-187	FR-191	FR-192	FR-193	FR-194	FR-195	FR-196	FR-198	FR-200	FR-202	FR-208	FR-211	FR-212	FR-213	FR-214	FR-215	FR-218	FR-221	FR-223	FR-229	FR-241	FR-249	FR-268	FR-275	FR-276	FR-281	FR-282	FR-293	FR-294	FR-298	FR-302	FR-305	FR-310	FR-312	FR-316	FR-328	FR-344	FR-349	FR-376	FR-382	FR-390	FR-393	FR-398	FR-399	FR-400	FR-404	FR-414	FR-419	FR-430	FR-449	FR-450	FR-451	FR-459	FR-460	FR-473	FR-474	FR-495	FR-496	FR-500	FR-503	FR-504	FR-505	FR-506	FR-507	FR-510	FR-539	FR-542	FR-548	FR-551	FR-552	FR-558	FR-568	FR-596	FR-606	FR-617	FR-626	FR-628	FR-643	FR-652	FR-654	FR-664	FR-666	FR-667	FR-672	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-790	FR-792	FR-812	FR-815	FR-817	FR-820	FR-823	FR-824	FR-825	FR-826	FR-827	FR-828	FR-829	FR-830	FR-835	FR-901	FR-902	Domain	Phylum	Class	Order	Family	Genus	Species
2	223631	1062878	474127	1302337	1949150	1164366	1508177	155956	224151	139873	171417	1077839	1869153	227630	912797	172556	1083454	1098677	146892	911472	961738	794854	1149773	1222628	1571983	1249562	1068161	1016094	766574	343485	873666	1111876	523031	351343	1218550	1563394	628625	766113	1166404	1794155	931096	671603	333848	644419	674769	1120131	1215230	1531019	205556	241096	795809	823095	715885	457116	1786789	751290	533195	1693738	1000172	2483450	234235	464436	1268532	1709998	1496132	1117644	844890	1847299	1259306	1582195	1446042	1098690	1026874	1227415	1039591	1028737	1463007	1032799	1286610	1056536	745586	531231	598532	1156925	2544250	1091949	735541	1169324	615731	576107	765691	778624	621353	791375	1385328	502837	1589013	771780	825261	1736051	1043241	768625	561306	1074587	1319122	1476916	958575	714030	1584749	702363	2074532	487819	1217760	722531	625023	481931	710144	797320	174405	1175374	810083	1956118	224085	1046322	679052	1736013	1349362	1397961	176709	669528	1329528	1070084	3366116	931738	960897	246627	654716	1812610	1284975	219998	1322963	846591	1480797	798731	670853	53009	509324	654322	1306846	1179994	197034	415100	239496	921993	387438	620264	d__Bacteria	NA	NA	NA	NA	NA	NA
74152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 p__Elusimicrobia	NA	NA	NA	NA	NA
641853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 p__Elusimicrobia	 c__Elusimicrobia	NA	NA	NA	NA
641854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 p__Elusimicrobia	 c__Elusimicrobia	 o__Elusimicrobiales	NA	NA	NA
641876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 p__Elusimicrobia	 c__Elusimicrobia	 o__Elusimicrobiales	 f__Elusimicrobiaceae	NA	NA
423604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 p__Elusimicrobia	 c__Elusimicrobia	 o__Elusimicrobiales	 f__Elusimicrobiaceae	 g__Elusimicrobium	NA
423605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 p__Elusimicrobia	 c__Elusimicrobia	 o__Elusimicrobiales	 f__Elusimicrobiaceae	 g__Elusimicrobium	 s__Elusimicrobium minutum
77133	2615	6694	7794	9008	22029	7725	9906	1593	1895	2045	1542	6373	12757	6657	6993	1417	10662	6162	1830	10166	10924	11803	12359	11144	12844	4032	17638	9800	4136	2082	4791	9942	3693	1732	17007	14618	8044	5583	11987	12205	7047	9126	1449	3582	2298	6214	17638	11107	1684	1417	4609	7891	1797	2539	8332	5660	1395	14604	9218	10391	1059	4437	9888	10140	10386	6839	4858	9066	8386	19654	12835	12182	12259	10639	0	9588	13506	9694	21706	3813	7376	5610	3773	5930	20336	14826	7528	9349	5518	5481	8416	7937	5956	7129	20045	2334	12919	5401	8984	18445	14797	8787	7310	13499	7342	27657	5306	5059	11020	10143	8270	7785	10201	3800	3711	3909	6574	16112	2070	9405	18424	13173	1755	15588	6333	11232	19063	7588	1044	8544	6481	9405	13551	12425	9597	1110	4400	24615	20441	927	11314	12304	13736	2271	4789	281	3317	4473	8401	4346	959	6065	563	10675	0	2990	d__Bacteria	 s__uncultured bacterium	NA	NA	NA	NA	NA
1805580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 s__uncultured bacterium IN-02	NA	NA	NA	NA	NA
1805584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	 s__uncultured bacterium IN-06	NA	NA	NA	NA	NA
