taxid	FR.001	FR.003	FR.024	FR.025	FR.026	FR.027	FR.030	FR.039	FR.040	FR.051	FR.052	FR.053	FR.054	FR.060	FR.105	FR.110	FR.113	FR.115	FR.116	FR.118	FR.121	FR.125	FR.129	FR.132	FR.139	FR.142	FR.152	FR.156	FR.161	FR.162	FR.166	FR.169	FR.170	FR.173	FR.187	FR.191	FR.192	FR.193	FR.194	FR.195	FR.196	FR.198	FR.200	FR.202	FR.208	FR.211	FR.212	FR.213	FR.214	FR.215	FR.218	FR.221	FR.223	FR.229	FR.241	FR.249	FR.268	FR.275	FR.276	FR.281	FR.282	FR.293	FR.294	FR.298	FR.302	FR.305	FR.310	FR.312	FR.316	FR.328	FR.344	FR.349	FR.376	FR.382	FR.390	FR.393	FR.398	FR.399	FR.400	FR.404	FR.414	FR.419	FR.430	FR.449	FR.450	FR.451	FR.459	FR.460	FR.473	FR.474	FR.495	FR.496	FR.500	FR.503	FR.504	FR.505	FR.506	FR.507	FR.510	FR.539	FR.542	FR.548	FR.551	FR.552	FR.558	FR.568	FR.596	FR.606	FR.617	FR.626	FR.628	FR.643	FR.652	FR.654	FR.664	FR.666	FR.667	FR.672	FR.682	FR.684	FR.696	FR.716	FR.719	FR.721	FR.722	FR.723	FR.726	FR.728	FR.730	FR.734	FR.751	FR.759	FR.767	FR.768	FR.770	FR.772	FR.780	FR.783	FR.788	FR.790	FR.792	FR.812	FR.815	FR.817	FR.820	FR.823	FR.824	FR.825	FR.826	FR.827	FR.828	FR.829	FR.830	FR.835	FR.901	FR.902	Domain	Phylum	Class	Order	Family	Genus	Species
2	0.0567399981072374	0.0547845154487903	0.0580193652007648	0.0646612083293861	0.083957893510817	0.0563569128849343	0.0640295340198917	0.0538936537178279	0.0554302346284719	0.0650305014266234	0.0539917489638959	0.0573844692195212	0.0761513899342948	0.0733572131799996	0.0642322416936032	0.0533997813331006	0.0625915263015445	0.0477293711029556	0.0600487611049247	0.0561440475687433	0.0568065389970903	0.0625316501703573	0.0583653530498948	0.0662305890882593	0.0746915140589765	0.0637257124392793	0.0638724986145106	0.0656442147827303	0.071053456516609	0.0652463551623423	0.067935540760578	0.0652270300452076	0.0671577149754112	0.104541353795104	0.0631870008023409	0.0725947566269321	0.0666501620596901	0.0563259198720958	0.0632488268857781	0.0702251292026833	0.0607458310050376	0.0623631575413909	0.0635358174968622	0.0611186411196256	0.0452884766204277	0.0660218578700315	0.0748000017234598	0.0639159039122519	0.061178673716022	0.0417347326846888	0.0784092231377306	0.0623510999570486	0.0969361101956068	0.0472292700879326	0.0705937130593642	0.0683523560359946	0.088895228022066	0.0670575265604125	0.0566200848419283	0.0856460709612762	0.0676896428358821	0.060701566316222	0.0863907580497334	0.0715655475685242	0.0652707092864826	0.0475154452065729	0.0894838734891276	0.0884911694167302	0.0684336220124693	0.0616284034687451	0.0770443163511849	0.0681071688174313	0.0699004099852361	0.087508072332088	0.0514689216811095	0.0532874070799619	0.0628992854838731	0.064477988125001	0.0648823143512099	0.0851663972979836	0.0693078961637415	0.0770433162079555	0.0430135840200107	0.0840813509645745	0.058917717936216	0.0723231341912459	0.0653772090243073	0.0624223073625635	0.0587848184894103	0.0744498582872373	0.0729406109555285	0.0625204855474212	0.0603383807834037	0.0560298846819835	0.0611080748103341	0.0659283531632661	0.0591481287438384	0.0657463192863026	0.0695047821853175	0.0657543344033123	0.082999509198764	0.0801246551473413	0.0676341634545903	0.0751263166490209	0.0684259766839948	0.056795324044597	0.0526751583991456	0.0654128988267123	0.0589119605500208	0.0849838850014538	0.0840071041904057	0.0647820404299618	0.0844172305816142	0.0699545474701358	0.0582195694947016	0.0558669638009071	0.0734032652247814	0.056680282246934	0.0521876439121298	0.0505663935645291	0.059482761532489	0.0696473755311627	0.0622449515298533	0.0437765915341208	0.0894573319885461	0.0927690240135844	0.0725580079808528	0.0638847246128251	0.0766836342806556	0.0619101959655474	0.089202145046678	0.0531618272004636	0.0893613509122946	0.0677099990807164	0.0748218566156775	0.0535296392809842	0.0644282108958265	0.0822804309153918	0.0824614126023897	0.0628327129498542	0.0653638459443218	0.0704178327196869	0.0628431969937057	0.0576318923249738	0.0487145119435526	0.0989701384973283	0.043570907776292	0.0799201484952664	0.0527554934346186	0.0746099523606709	0.0754752395829583	0.0839892187869577	0.0628304721598644	0.0742875112882423	0.0356248546618145	0.0611003929939797	d__Bacteria	NA	NA	NA	NA	NA	NA
74152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7102480136419e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	NA	NA	NA	NA	NA
641853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	NA	NA	NA	NA
641854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	NA	NA	NA
641876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	NA	NA
423604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	NA
423605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109831392374897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	s__Elusimicrobium minutum
77133	0.000663481784951218	0.000345032587384631	0.000953759082217973	0.000447248419288641	0.000948879478823994	0.000373900605167205	0.000420558438433318	0.000550492384855343	0.000468613990662341	0.00095077231072076	0.000485688565908442	0.000339300417164353	0.000519734490109583	0.00214531901831594	0.000492087579344988	0.000438509760014161	0.000615947565311557	0.000267693220788651	0.000748095422637122	0.000626196293011573	0.000645242916474356	0.00092854922660102	0.000627373749725946	0.000603678048269434	0.000610272379900733	0.000205625709292676	0.00105469412435273	0.000633123810268299	0.000383364288578395	0.000395484261170056	0.000372544171095051	0.00058323691914337	0.000474184974512397	0.000515352873895651	0.000881885292064676	0.000678773330569577	0.000852867613614074	0.00041047157618512	0.000650000932678405	0.000477716642050854	0.000459754817003295	0.00084741458230939	0.000275764418396855	0.000339727681043698	0.000154234885232936	0.000366260575597297	0.00108565656739743	0.000463687220572299	0.000501201067046357	0.000245288665984521	0.000454114127186046	0.000597759104065838	0.000243327056750044	0.000262329729769382	0.000329186500034768	0.000514946738494762	0.000232576905430062	0.00057819339111968	0.000521834186592802	0.000358351617048308	0.000306031685116226	0.000579913808888796	0.000673401865775372	0.000424371638063223	0.000453102792166339	0.000290752806589354	0.000514519827918642	0.000434288624598441	0.000455714777978162	0.000765547003861545	0.000683841686733482	0.000755155258110976	0.000834483223851231	0.000758503343645861	0	0.000496647499878661	0.000580665540045393	0.000605199672815097	0.00109460948951692	0.000307362430525047	0.000685655366522114	0.000813606517553814	0.000271147160899501	0.000430972112470494	0.00047092491380599	0.000981971490902424	0.000669112434976413	0.000499079939805055	0.000526812241749345	0.000708305355207188	0.000801717901610085	0.000637310298410892	0.000578375570643342	0.000504738016613945	0.000884203134256398	0.000306017210911415	0.000480886358539325	0.000460099860666667	0.000756646640460281	0.000698619279081718	0.00117723875654246	0.000915993292931778	0.000880813201449932	0.000943739453804237	0.000380846897264915	0.00106355965884412	0.000291572793433864	0.000463459315665081	0.000409660965402868	0.00122727356875255	0.000334889387897924	0.00103384284898139	0.000707150973232038	0.000367911245865597	0.00034567179510968	0.000453143627402565	0.00067951438805047	0.00114537790041966	0.000619411272028374	0.000404617535758317	0.00135283717652954	0.000469023278693824	0.000487493093847837	0.000652179261101147	0.000834300294356636	0.000600215365737802	0.00102505725382736	0.000346760238920912	0.000453048312134665	0.000790050176138469	0.000434830332304036	0.000467240875314798	0.000359742702334829	0.000902932732783144	0.000747286502029517	0.000240922119645831	0.000432987933610354	0.00111735718493353	0.00131177161812911	0.000264756610989713	0.000558992619607696	0.00102342336947006	0.000582938886225149	0.000163862461166545	0.000347756956736682	0.0005246393804401	0.000283757885145724	0.000546340829468254	0.000339136287170968	0.000274793645526567	0.000367351597998604	0.00122716119475524	0.000147699985912097	0.000860114103905329	0	0.000294536157268517	d__Bacteria	NA	NA	NA	NA	NA	s__uncultured bacterium
1805580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000393087615885019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	NA	NA	NA	NA	NA	s__uncultured bacterium IN-02
1805584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207955447714781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	NA	NA	NA	NA	NA	s__uncultured bacterium IN-06
