"FR.294.mOTU"	"FR.316.mOTU"	"FR.221.mOTU"	"FR.213.mOTU"	"FR.194.mOTU"	"FR.716.mOTU"	"FR.052.mOTU"	"FR.684.mOTU"	"FR.053.mOTU"	"FR.198.mOTU"	"FR.730.mOTU"	"FR.115.mOTU"	"FR.276.mOTU"	"FR.305.mOTU"	"FR.399.mOTU"	"FR.393.mOTU"	"FR.728.mOTU"	"FR.152.mOTU"	"FR.726.mOTU"	"FR.400.mOTU"	"FR.460.mOTU"	"FR.721.mOTU"	"FR.719.mOTU"	"FR.759.mOTU"	"FR.542.mOTU"	"FR.129.mOTU"	"FR.751.mOTU"	"FR.212.mOTU"	"FR.696.mOTU"	"FR.040.mOTU"	"FR.110.mOTU"	"FR.187.mOTU"	"FR.139.mOTU"	"FR.169.mOTU"	"FR.390.mOTU"	"FR.156.mOTU"	"FR.116.mOTU"	"FR.027.mOTU"	"FR.558.mOTU"	"FR.060.mOTU"	"FR.349.mOTU"	"FR.039.mOTU"	"FR.132.mOTU"	"FR.568.mOTU"	"FR.030.mOTU"	"FR.105.mOTU"	"FR.173.mOTU"	"FR.682.mOTU"	"FR.166.mOTU"	"FR.142.mOTU"	"genus"
0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002062749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000360802	0	0	0	0	0	7.7666e-05	0	0	0	0	0	0	0	0	0	"g__Abiotrophia"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acaricomes"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acaryochloris"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acetivibrio"
0	0	0	0	0	0	0	0	0.0021783173	0	0	0	0	0	0	0	0	0.0001643312	0	0.0051783901	0	0	0.0004013976	0	0	0	0.0045070274	7.80357e-05	0	0	0	0	0.0050108117	0.0058776026	0	0	0	0.0004390854	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acetobacter"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acetobacteraceae"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003923546	0	0	0	0	0	0	0	0.0001249218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acetobacterium"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acetohalobium"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acetonema"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acholeplasma"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Achromobacter"
0.0057836864	0	0	0	0	0	0	0	0	0	0.0018139231	0.0003753657	0	0.0019959604	0	0.0001529263	0	0	0	0	0.0025460275	0.001717314	0	0	0	0	0	0	0	0	0.0013810254	0	0.0115683811	0	0	0	0	0	0	0	0	0.0066544519	0	0.0016272443	0	0	0	0.0023212675	0.014754664	0	"g__Acidaminococcus"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidianus"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidihalobacter"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidilobus"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidimicrobium"
0	0	0	0	0	0	0	0	0	0.0001045397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001643923	0	0	0	0.0002244988	0	0.0001598361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidiphilium"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidithiobacillus"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidobacteriaceae"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidobacterium"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidocella"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidothermus"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Acidovorax"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Aciduliprofundum"
0	0	0.0019627173	7.62469e-05	0	0	0	0.0023824181	7.12438e-05	0	0	0	0	0	0.0017923368	0	0	0	6.7659e-05	0.0001312542	0.0006006501	0	0	0	0	0.0004055217	0	0	0	0.000486706	0	0	0	0.0077970738	0	0.0004519784	0.0004803898	0	0	0	0	0	0.0015020014	0	0.0077719313	0	0	0	0	0.0025310289	"g__Acinetobacter"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Actibacterium"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"g__Actinoalloteichus"
